,Name,Category,Open_for_UG,Open_for_PG,CTC_UG,CTC_PG,CGPA_Requirement,Total_vacancies,Sector,Name_of_post
303,Maruti Suzuki India Ltd,A,"['B. Tech. (Electrical Engineering) and M.Tech. (Power Electronics)', 'B. Tech. (Electronics & Communication Engineering) and M. Tech. (Wireless Communication)', 'B.Tech. (Mechanical Engineering) and M.Tech. (Thermal Engineering)']","['CAD,CAM & Robotics', 'Communication Systems', 'Computer Science & Engineering', 'Electric Drives and Power Electronics', 'Information Technology', 'Instrumentation and Signal Processing', 'Machine Design Engineering', 'Micro Electronic and VLSI', 'Power System Engineering', 'Production & Industrial Systems Engineering', 'RF and Microwave Engineering', 'Solid State Electronic Materials', 'System and Control', 'System Modelling and Control', 'Thermal Engineering', 'Welding Engineering']",-,7.1 Lacs INR,6,-,Academics,Assistant Professor
304,STATE BANK OF INDIA (SBI),A,"['Applied Mathematics', 'Architecture and Planning', 'B. Tech. (Chemical Engineering) and M. Tech. (Hydrocarbon Engineering)', 'B. Tech. (Computer Science & Engineering) and M. Tech. (Information Technology)', 'B. Tech. (Electrical Engineering) and M.Tech. (Power Electronics)', 'B. Tech. (Electronics & Communication Engineering) and M. Tech. (Wireless Communication)', 'B. Tech. (Process Engineering) and M.B.A.', 'B.Tech. (Chemical Engineering) with M.Tech. (Computer Aided Process Plant Design)', 'B.Tech. (Mechanical Engineering) and M.Tech. (Thermal Engineering)', 'Biotechnology', 'Chemical Engineering', 'Chemistry', 'Civil Engineering', 'Civil Engineering with specialisation in Structures', 'Civil Engineering with specialisation in Structures', 'Computer Science and Engineering', 'Electrical Engineering', 'Electronics & Communication Engineering', 'Engineering Physics', 'Geological Technology', 'Geophysical Technology', 'Mechanical Engineering', 'Metallurgical & Materials Engineering', 'Metallurgy Dual', 'Physics', 'Polymer Science and Technology', 'Polymer Science and Technology', 'Production and Industrial Engineering', 'Pulp & Paper Technology']","['Advanced Chemical Analysis', 'Alternate Hydro Energy Systems', 'Applied Geology', 'Applied Mathematics', 'Architecture and Planning', 'Biotechnology', 'Building Technology', 'CAD,CAM & Robotics', 'Chemistry', 'Communication Systems', 'Computer Aided Process Plant Design', 'Computer Science & Engineering', 'Control & Guidance', 'Corrosion Engineering', 'Disaster Mitigation and Management', 'Electric Drives and Power Electronics', 'Environmental Engineering', 'Environmental Management of Rivers and Lakes', 'Geological Technology', 'Geomatics Engineering', 'Geophysical Technology', 'Geophysical Technology', 'Geotechnical Engineering', 'Ground Water Hydrology', 'Hydraulics Engineering', 'Hydroelectric System Engineering and Management', 'Hydrology', 'Hydrology', 'Industrial Metallurgy', 'Industrial Pollution Abatement', 'Industrial Safety and Hazards Management', 'Information Technology', 'Infrastructure Systems', 'Instrumentation and Signal Processing', 'Irrigation Water Management', 'M.sc Industrial Mathematics and Informatics', 'M.Sc. Economics', 'M.Sc. Mathematics', 'M.Tech. Bioprocess Engineering', 'Machine Design Engineering', 'Management and Business Administration', 'Master of Computer Application', 'Master of Urban and Rural Planning', 'Materials Engineering', 'Micro Electronic and VLSI', 'Nanotechnology', 'Packaging Technology', 'Physics', 'Power System Engineering', 'Production & Industrial Systems Engineering', 'Pulp & Paper Engineering', 'RF and Microwave Engineering', 'Seismic Vulnerability & Risk Assessment', 'Semiconductor Design and VLSI Technology', 'Soil Dynamics', 'Solid State Electronic Materials', 'Structural Dynamics', 'Structural Engineering', 'Surface Water Hydrology', 'System and Control', 'System Modelling and Control', 'Thermal Engineering', 'Thermal Systems Engineering', 'Transportation Engineering', 'Water Resources Development', 'Water Resources Development', 'Watershed Management', 'Welding Engineering']",-,-,-,-,Academics,Assistant Professor
305,Oliver Wyman India (PPO),A,['Pulp & Paper Technology'],NA,12.5 Lacs INR,-,-,-,Academics,-
306,Novocura (Mfine),B,"['Applied Mathematics', 'Architecture and Planning', 'B. Tech. (Chemical Engineering) and M. Tech. (Hydrocarbon Engineering)', 'B. Tech. (Computer Science & Engineering) and M. Tech. (Information Technology)', 'B. Tech. (Electrical Engineering) and M.Tech. (Power Electronics)', 'B. Tech. (Electronics & Communication Engineering) and M. Tech. (Wireless Communication)', 'B. Tech. (Process Engineering) and M.B.A.', 'B.Tech. (Chemical Engineering) with M.Tech. (Computer Aided Process Plant Design)', 'B.Tech. (Mechanical Engineering) and M.Tech. (Thermal Engineering)', 'Biotechnology', 'Chemical Engineering', 'Chemistry', 'Civil Engineering', 'Civil Engineering with specialisation in Structures', 'Civil Engineering with specialisation in Structures', 'Computer Science and Engineering', 'Electrical Engineering', 'Electronics & Communication Engineering', 'Engineering Physics', 'Geological Technology', 'Geophysical Technology', 'Mechanical Engineering', 'Metallurgical & Materials Engineering', 'Metallurgy Dual', 'Physics', 'Polymer Science and Technology', 'Polymer Science and Technology', 'Production and Industrial Engineering', 'Pulp & Paper Technology']",NA,6.3 Lacs INR,6.3 Lacs INR,-,-,Academics,Assistant Professor/Assistant Professor on Contract
307,RELAXO FOOTWEARS LIMITED,B,"['B. Tech. (Chemical Engineering) and M. Tech. (Hydrocarbon Engineering)', 'B. Tech. (Electrical Engineering) and M.Tech. (Power Electronics)', 'B. Tech. (Process Engineering) and M.B.A.', 'B.Tech. (Chemical Engineering) with M.Tech. (Computer Aided Process Plant Design)', 'Polymer Science and Technology', 'Polymer Science and Technology']","['CAD,CAM & Robotics', 'Chemistry', 'Computer Aided Process Plant Design', 'Electric Drives and Power Electronics', 'Industrial Pollution Abatement', 'Industrial Safety and Hazards Management', 'Instrumentation and Signal Processing', 'Machine Design Engineering', 'Power System Engineering', 'Production & Industrial Systems Engineering', 'System and Control', 'Thermal Engineering', 'Thermal Systems Engineering', 'Welding Engineering']",-,6.6 Lacs INR,-,-,Academics,Assistant Professor
308,MITAOE,U,['Polymer Science and Technology'],"['CAD,CAM & Robotics', 'Communication Systems', 'Computer Aided Process Plant Design', 'Computer Science & Engineering', 'Electric Drives and Power Electronics', 'Environmental Engineering', 'Geomatics Engineering', 'Geotechnical Engineering', 'Hydraulics Engineering', 'Industrial Metallurgy', 'Industrial Pollution Abatement', 'Instrumentation and Signal Processing', 'Machine Design Engineering', 'Materials Engineering', 'Micro Electronic and VLSI', 'Power System Engineering', 'Production & Industrial Systems Engineering', 'RF and Microwave Engineering', 'Seismic Vulnerability & Risk Assessment', 'Soil Dynamics', 'Solid State Electronic Materials', 'Structural Dynamics', 'Structural Engineering', 'System and Control', 'System Modelling and Control', 'Thermal Engineering', 'Thermal Systems Engineering', 'Transportation Engineering', 'Welding Engineering']",-,60.0 Thousands INR,-,-,IT,Associate – Technolog & Associate - Data Science
309,Quifers Tecnology - Business Development Manager,A,"['Applied Mathematics', 'Architecture and Planning', 'B. Tech. (Chemical Engineering) and M. Tech. (Hydrocarbon Engineering)', 'B. Tech. (Computer Science & Engineering) and M. Tech. (Information Technology)', 'B. Tech. (Electrical Engineering) and M.Tech. (Power Electronics)', 'B. Tech. (Electronics & Communication Engineering) and M. Tech. (Wireless Communication)', 'B. Tech. (Process Engineering) and M.B.A.', 'B.Tech. (Chemical Engineering) with M.Tech. (Computer Aided Process Plant Design)', 'B.Tech. (Mechanical Engineering) and M.Tech. (Thermal Engineering)', 'Biotechnology', 'Chemical Engineering', 'Chemistry', 'Civil Engineering', 'Civil Engineering with specialisation in Structures', 'Civil Engineering with specialisation in Structures', 'Computer Science and Engineering', 'Electrical Engineering', 'Electronics & Communication Engineering', 'Engineering Physics', 'Geological Technology', 'Geophysical Technology', 'Mechanical Engineering', 'Metallurgical & Materials Engineering', 'Metallurgy Dual', 'Physics', 'Polymer Science and Technology', 'Polymer Science and Technology', 'Production and Industrial Engineering', 'Pulp & Paper Technology']",NA,10.0 Lacs INR,-,-,-,R&D,Post Graduate Engineer Trainee
310,Quifers Technology - Javascript Web Developer / Android Developer,A,"['Applied Mathematics', 'Architecture and Planning', 'B. Tech. (Chemical Engineering) and M. Tech. (Hydrocarbon Engineering)', 'B. Tech. (Computer Science & Engineering) and M. Tech. (Information Technology)', 'B. Tech. (Electrical Engineering) and M.Tech. (Power Electronics)', 'B. Tech. (Electronics & Communication Engineering) and M. Tech. (Wireless Communication)', 'B. Tech. (Process Engineering) and M.B.A.', 'B.Tech. (Chemical Engineering) with M.Tech. (Computer Aided Process Plant Design)', 'B.Tech. (Mechanical Engineering) and M.Tech. (Thermal Engineering)', 'Biotechnology', 'Chemical Engineering', 'Chemistry', 'Civil Engineering', 'Civil Engineering with specialisation in Structures', 'Civil Engineering with specialisation in Structures', 'Computer Science and Engineering', 'Electrical Engineering', 'Electronics & Communication Engineering', 'Engineering Physics', 'Geological Technology', 'Geophysical Technology', 'Mechanical Engineering', 'Metallurgical & Materials Engineering', 'Metallurgy Dual', 'Physics', 'Polymer Science and Technology', 'Polymer Science and Technology', 'Production and Industrial Engineering', 'Pulp & Paper Technology']",['Computer Science & Engineering'],10.0 Lacs INR,-,-,-,IT,Associate Engineer
311,Vishveshwarya Group of Institutions,U,NA,"['CAD,CAM & Robotics', 'Communication Systems', 'Computer Science & Engineering', 'Electric Drives and Power Electronics', 'Hydraulics Engineering', 'Machine Design Engineering', 'Management and Business Administration', 'Micro Electronic and VLSI', 'Structural Dynamics', 'Structural Engineering', 'System and Control', 'Thermal Engineering']",-,0.0 Lacs INR,-,-,IT,Designation- Software Engineer
312,Centre for Social Responsibility and Leadership,C,"['Architecture and Planning', 'Biotechnology', 'Chemical Engineering', 'Civil Engineering', 'Computer Science and Engineering', 'Electrical Engineering', 'Electronics & Communication Engineering', 'Engineering Physics', 'Mechanical Engineering', 'Metallurgical & Materials Engineering', 'Polymer Science and Technology', 'Production and Industrial Engineering', 'Pulp & Paper Technology']",NA,3.9 Lacs INR,-,-,-,IT,Assistant Manager
313,KIIT UNIVERSITY,U,NA,"['Alternate Hydro Energy Systems', 'Building Technology', 'CAD,CAM & Robotics', 'Communication Systems', 'Computer Science & Engineering', 'Control & Guidance', 'Disaster Mitigation and Management', 'Electric Drives and Power Electronics', 'Environmental Engineering', 'Environmental Management of Rivers and Lakes', 'Geomatics Engineering', 'Geotechnical Engineering', 'Hydraulics Engineering', 'Information Technology', 'Infrastructure Systems', 'Instrumentation and Signal Processing', 'Machine Design Engineering', 'Micro Electronic and VLSI', 'Nanotechnology', 'Power System Engineering', 'Production & Industrial Systems Engineering', 'RF and Microwave Engineering', 'Seismic Vulnerability & Risk Assessment', 'Semiconductor Design and VLSI Technology', 'Soil Dynamics', 'Solid State Electronic Materials', 'Structural Dynamics', 'Structural Engineering', 'System and Control', 'System Modelling and Control', 'Thermal Engineering', 'Thermal Systems Engineering', 'Transportation Engineering', 'Welding Engineering']",-,0.0 Thousands INR,-,-,Academics,Assistant Professor
314,JK Technosoft (B Category),B,"['Chemical Engineering', 'Mechanical Engineering', 'Production and Industrial Engineering']",NA,5.0 Lacs INR,-,-,-,Academics,Visiting Assistant Professor
315,Amity University Madhya Pradesh,U,NA,"['Architecture and Planning', 'Building Technology', 'Disaster Mitigation and Management', 'Environmental Engineering', 'Geomatics Engineering', 'Geotechnical Engineering', 'Hydraulics Engineering', 'Master of Urban and Rural Planning', 'Soil Dynamics', 'Structural Dynamics', 'Structural Engineering', 'Transportation Engineering']",-,0.0 Thousands INR,-,-,Finance,Analyst
316,Interview Bit,A,"['Applied Mathematics', 'Architecture and Planning', 'B. Tech. (Chemical Engineering) and M. Tech. (Hydrocarbon Engineering)', 'B. Tech. (Computer Science & Engineering) and M. Tech. (Information Technology)', 'B. Tech. (Electrical Engineering) and M.Tech. (Power Electronics)', 'B. Tech. (Electronics & Communication Engineering) and M. Tech. (Wireless Communication)', 'B. Tech. (Process Engineering) and M.B.A.', 'B.Tech. (Chemical Engineering) with M.Tech. (Computer Aided Process Plant Design)', 'B.Tech. (Mechanical Engineering) and M.Tech. (Thermal Engineering)', 'Biotechnology', 'Chemical Engineering', 'Chemistry', 'Civil Engineering', 'Civil Engineering with specialisation in Structures', 'Civil Engineering with specialisation in Structures', 'Computer Science and Engineering', 'Electrical Engineering', 'Electronics & Communication Engineering', 'Engineering Physics', 'Geological Technology', 'Geophysical Technology', 'Mechanical Engineering', 'Metallurgical & Materials Engineering', 'Metallurgy Dual', 'Physics', 'Polymer Science and Technology', 'Polymer Science and Technology', 'Production and Industrial Engineering', 'Pulp & Paper Technology']","['Advanced Chemical Analysis', 'Alternate Hydro Energy Systems', 'Applied Geology', 'Applied Mathematics', 'Architecture and Planning', 'Biotechnology', 'Building Technology', 'CAD,CAM & Robotics', 'Chemistry', 'Communication Systems', 'Computer Aided Process Plant Design', 'Computer Science & Engineering', 'Control & Guidance', 'Corrosion Engineering', 'Disaster Mitigation and Management', 'Electric Drives and Power Electronics', 'Environmental Engineering', 'Environmental Management of Rivers and Lakes', 'Geological Technology', 'Geomatics Engineering', 'Geophysical Technology', 'Geophysical Technology', 'Geotechnical Engineering', 'Ground Water Hydrology', 'Hydraulics Engineering', 'Hydroelectric System Engineering and Management', 'Hydrology', 'Hydrology', 'Industrial Metallurgy', 'Industrial Pollution Abatement', 'Industrial Safety and Hazards Management', 'Information Technology', 'Infrastructure Systems', 'Instrumentation and Signal Processing', 'Irrigation Water Management', 'M.sc Industrial Mathematics and Informatics', 'M.Sc. Economics', 'M.Sc. Mathematics', 'M.Tech. Bioprocess Engineering', 'Machine Design Engineering', 'Management and Business Administration', 'Master of Computer Application', 'Master of Urban and Rural Planning', 'Materials Engineering', 'Micro Electronic and VLSI', 'Nanotechnology', 'Packaging Technology', 'Physics', 'Power System Engineering', 'Production & Industrial Systems Engineering', 'Pulp & Paper Engineering', 'RF and Microwave Engineering', 'Seismic Vulnerability & Risk Assessment', 'Semiconductor Design and VLSI Technology', 'Soil Dynamics', 'Solid State Electronic Materials', 'Structural Dynamics', 'Structural Engineering', 'Surface Water Hydrology', 'System and Control', 'System Modelling and Control', 'Thermal Engineering', 'Thermal Systems Engineering', 'Transportation Engineering', 'Water Resources Development', 'Water Resources Development', 'Watershed Management', 'Welding Engineering']",7.0 Lacs INR,7.0 Lacs INR,-,-,PSU/Government,"Management Trainee- Electrical, Metallurgy & Mechanical"
317,"MM University, Mullana",U,"['Architecture and Planning', 'B. Tech. (Electrical Engineering) and M.Tech. (Power Electronics)', 'B. Tech. (Electronics & Communication Engineering) and M. Tech. (Wireless Communication)', 'Civil Engineering with specialisation in Structures', 'Civil Engineering with specialisation in Structures']","['Alternate Hydro Energy Systems', 'Architecture and Planning', 'Building Technology', 'CAD,CAM & Robotics', 'Communication Systems', 'Computer Science & Engineering', 'Control & Guidance', 'Electric Drives and Power Electronics', 'Environmental Engineering', 'Environmental Management of Rivers and Lakes', 'Geomatics Engineering', 'Geotechnical Engineering', 'Ground Water Hydrology', 'Hydraulics Engineering', 'Hydrology', 'Information Technology', 'Infrastructure Systems', 'Instrumentation and Signal Processing', 'Irrigation Water Management', 'Machine Design Engineering', 'Management and Business Administration', 'Master of Urban and Rural Planning', 'Micro Electronic and VLSI', 'Nanotechnology', 'Power System Engineering', 'Production & Industrial Systems Engineering', 'RF and Microwave Engineering', 'Seismic Vulnerability & Risk Assessment', 'Semiconductor Design and VLSI Technology', 'Soil Dynamics', 'Solid State Electronic Materials', 'Structural Dynamics', 'Structural Engineering', 'Surface Water Hydrology', 'System and Control', 'System Modelling and Control', 'Thermal Engineering', 'Thermal Systems Engineering', 'Transportation Engineering', 'Water Resources Development', 'Watershed Management', 'Welding Engineering']",3.0 Lacs INR,3.6 Lacs INR,-,-,Academics,Assistant Professor
318,Tejas Networks (Hardware),A,"['B. Tech. (Computer Science & Engineering) and M. Tech. (Information Technology)', 'B. Tech. (Electrical Engineering) and M.Tech. (Power Electronics)', 'B. Tech. (Electronics & Communication Engineering) and M. Tech. (Wireless Communication)', 'Computer Science and Engineering', 'Electrical Engineering', 'Electronics & Communication Engineering']","['Communication Systems', 'Computer Science & Engineering', 'Control & Guidance', 'Electric Drives and Power Electronics', 'Information Technology', 'Instrumentation and Signal Processing', 'Micro Electronic and VLSI', 'Power System Engineering', 'RF and Microwave Engineering', 'Semiconductor Design and VLSI Technology', 'Solid State Electronic Materials', 'System and Control']",8.0 Lacs INR,8.3 Lacs INR,-,-,Oil & Gas,GEOPHYSICIST/GEOLOGIST
319,Tejas Networks (Software),A,"['B. Tech. (Electronics & Communication Engineering) and M. Tech. (Wireless Communication)', 'Civil Engineering', 'Computer Science and Engineering', 'Electrical Engineering', 'Electronics & Communication Engineering']","['Communication Systems', 'Computer Science & Engineering', 'Control & Guidance', 'Information Technology', 'Micro Electronic and VLSI', 'RF and Microwave Engineering', 'Semiconductor Design and VLSI Technology']",8.0 Lacs INR,8.3 Lacs INR,-,-,IT,Business Planning and Operations
320,Slabs Engineering Pvt. Ltd.,B,"['Civil Engineering', 'Civil Engineering with specialisation in Structures', 'Civil Engineering with specialisation in Structures']","['Seismic Vulnerability & Risk Assessment', 'Structural Dynamics', 'Structural Engineering']",4.8 Lacs INR,4.8 Lacs INR,-,-,Core Engineering,Assistant manager
321,Secure Meters Limited,B,['B. Tech. (Electronics & Communication Engineering) and M. Tech. (Wireless Communication)'],"['CAD,CAM & Robotics', 'Machine Design Engineering', 'RF and Microwave Engineering']",-,6.0 Lacs INR,-,-,Consultancy,Project Manager
322,Mu Sigma Business Solutions Pvt. Ltd,A,"['Applied Mathematics', 'B. Tech. (Chemical Engineering) and M. Tech. (Hydrocarbon Engineering)', 'B. Tech. (Computer Science & Engineering) and M. Tech. (Information Technology)', 'B. Tech. (Electrical Engineering) and M.Tech. (Power Electronics)', 'B. Tech. (Electronics & Communication Engineering) and M. Tech. (Wireless Communication)', 'B. Tech. (Process Engineering) and M.B.A.', 'B.Tech. (Chemical Engineering) with M.Tech. (Computer Aided Process Plant Design)', 'B.Tech. (Mechanical Engineering) and M.Tech. (Thermal Engineering)', 'Chemistry', 'Civil Engineering with specialisation in Structures', 'Civil Engineering with specialisation in Structures', 'Geological Technology', 'Geophysical Technology', 'Metallurgy Dual', 'Physics', 'Polymer Science and Technology']","['Advanced Chemical Analysis', 'Alternate Hydro Energy Systems', 'Building Technology', 'CAD,CAM & Robotics', 'Communication Systems', 'Computer Aided Process Plant Design', 'Computer Science & Engineering', 'Control & Guidance', 'Corrosion Engineering', 'Disaster Mitigation and Management', 'Electric Drives and Power Electronics', 'Environmental Engineering', 'Environmental Management of Rivers and Lakes', 'Geological Technology', 'Geomatics Engineering', 'Geophysical Technology', 'Geophysical Technology', 'Geotechnical Engineering', 'Ground Water Hydrology', 'Hydraulics Engineering', 'Hydrology', 'Industrial Metallurgy', 'Industrial Pollution Abatement', 'Industrial Safety and Hazards Management', 'Information Technology', 'Infrastructure Systems', 'Instrumentation and Signal Processing', 'Irrigation Water Management', 'M.Tech. Bioprocess Engineering', 'Machine Design Engineering', 'Materials Engineering', 'Micro Electronic and VLSI', 'Nanotechnology', 'Packaging Technology', 'Power System Engineering', 'Production & Industrial Systems Engineering', 'Pulp & Paper Engineering', 'RF and Microwave Engineering', 'Seismic Vulnerability & Risk Assessment', 'Semiconductor Design and VLSI Technology', 'Soil Dynamics', 'Solid State Electronic Materials', 'Structural Dynamics', 'Structural Engineering', 'Surface Water Hydrology', 'System and Control', 'System Modelling and Control', 'Thermal Engineering', 'Thermal Systems Engineering', 'Transportation Engineering', 'Water Resources Development', 'Watershed Management', 'Welding Engineering']",-,12.0 Lacs INR,-,-,Finance,Probationary Officer(P.O)
323,Mettl,B,"['Applied Mathematics', 'Architecture and Planning', 'B. Tech. (Chemical Engineering) and M. Tech. (Hydrocarbon Engineering)', 'B. Tech. (Computer Science & Engineering) and M. Tech. (Information Technology)', 'B. Tech. (Electrical Engineering) and M.Tech. (Power Electronics)', 'B. Tech. (Electronics & Communication Engineering) and M. Tech. (Wireless Communication)', 'B. Tech. (Process Engineering) and M.B.A.', 'B.Tech. (Chemical Engineering) with M.Tech. (Computer Aided Process Plant Design)', 'B.Tech. (Mechanical Engineering) and M.Tech. (Thermal Engineering)', 'Biotechnology', 'Chemical Engineering', 'Chemistry', 'Civil Engineering', 'Civil Engineering with specialisation in Structures', 'Civil Engineering with specialisation in Structures', 'Computer Science and Engineering', 'Electrical Engineering', 'Electronics & Communication Engineering', 'Engineering Physics', 'Geological Technology', 'Geophysical Technology', 'Mechanical Engineering', 'Metallurgical & Materials Engineering', 'Metallurgy Dual', 'Physics', 'Polymer Science and Technology', 'Polymer Science and Technology', 'Production and Industrial Engineering', 'Pulp & Paper Technology']","['Advanced Chemical Analysis', 'Alternate Hydro Energy Systems', 'Applied Geology', 'Applied Mathematics', 'Architecture and Planning', 'Biotechnology', 'Building Technology', 'CAD,CAM & Robotics', 'Chemistry', 'Communication Systems', 'Computer Aided Process Plant Design', 'Computer Science & Engineering', 'Control & Guidance', 'Corrosion Engineering', 'Disaster Mitigation and Management', 'Electric Drives and Power Electronics', 'Environmental Engineering', 'Environmental Management of Rivers and Lakes', 'Geological Technology', 'Geomatics Engineering', 'Geophysical Technology', 'Geophysical Technology', 'Geotechnical Engineering', 'Ground Water Hydrology', 'Hydraulics Engineering', 'Hydrology', 'Industrial Metallurgy', 'Industrial Pollution Abatement', 'Industrial Safety and Hazards Management', 'Information Technology', 'Infrastructure Systems', 'Instrumentation and Signal Processing', 'Irrigation Water Management', 'M.sc Industrial Mathematics and Informatics', 'M.Sc. Economics', 'M.Sc. Mathematics', 'M.Tech. Bioprocess Engineering', 'Machine Design Engineering', 'Master of Computer Application', 'Master of Urban and Rural Planning', 'Materials Engineering', 'Micro Electronic and VLSI', 'Nanotechnology', 'Packaging Technology', 'Physics', 'Power System Engineering', 'Production & Industrial Systems Engineering', 'Pulp & Paper Engineering', 'RF and Microwave Engineering', 'Seismic Vulnerability & Risk Assessment', 'Semiconductor Design and VLSI Technology', 'Soil Dynamics', 'Solid State Electronic Materials', 'Structural Dynamics', 'Structural Engineering', 'Surface Water Hydrology', 'System and Control', 'System Modelling and Control', 'Thermal Engineering', 'Thermal Systems Engineering', 'Transportation Engineering', 'Water Resources Development', 'Watershed Management', 'Welding Engineering']",6.5 Lacs INR,6.5 Lacs INR,-,-,Construction / Infrastructure,Post Graduate Engineer Trainee
324,D. P. Jain & Co. Infrastructure Pvt. Ltd.,B,"['Civil Engineering', 'Civil Engineering with specialisation in Structures', 'Civil Engineering with specialisation in Structures']","['Seismic Vulnerability & Risk Assessment', 'Structural Dynamics', 'Structural Engineering', 'Transportation Engineering']",3.6 Lacs INR,4.8 Lacs INR,-,-,Consultancy,Business Analyst
325,Power Research & Development Consultants Pvt.,C,"['Electrical Engineering', 'Electronics & Communication Engineering']",['Power System Engineering'],0 Lacs INR,0 Lacs INR,6.5,-,Core Engineering,Management Trainees
326,Ramboll India Pvt Ltd,B,"['Civil Engineering with specialisation in Structures', 'Civil Engineering with specialisation in Structures']","['CAD,CAM & Robotics', 'Computer Science & Engineering', 'Electric Drives and Power Electronics', 'Hydraulics Engineering', 'Information Technology', 'Instrumentation and Signal Processing', 'Irrigation Water Management', 'Machine Design Engineering', 'Power System Engineering', 'Seismic Vulnerability & Risk Assessment', 'Soil Dynamics', 'Structural Dynamics', 'Structural Engineering', 'System and Control', 'Transportation Engineering', 'Water Resources Development', 'Welding Engineering']",-,5.5 Lacs INR,-,-,Academics,Professor/Associate Professor/Asst Professor.
327,"IFTM University, Moradabad",U,NA,NA,-,-,-,-,IT,Business Development Manager
328,Isgec Hitachi Zosen Ltd,B,['Metallurgy Dual'],"['Corrosion Engineering', 'Industrial Metallurgy', 'Materials Engineering', 'Welding Engineering']",-,5.9 Thousands INR,-,-,IT,Javascript Web Developer / Android Developer
329,The Smart Cube,B,['Applied Mathematics'],"['Applied Mathematics', 'M.sc Industrial Mathematics and Informatics', 'M.Sc. Mathematics']",-,6.48 Lacs INR,-,-,Academics,Assistant Professor
330,ANEL Emirates General Contracting LLC,A,"['B. Tech. (Electrical Engineering) and M.Tech. (Power Electronics)', 'B. Tech. (Electronics & Communication Engineering) and M. Tech. (Wireless Communication)', 'Electrical Engineering', 'Electronics & Communication Engineering', 'Mechanical Engineering', 'Production and Industrial Engineering']","['CAD,CAM & Robotics', 'Communication Systems', 'Control & Guidance', 'Electric Drives and Power Electronics', 'Instrumentation and Signal Processing', 'Machine Design Engineering', 'Micro Electronic and VLSI', 'Power System Engineering', 'Production & Industrial Systems Engineering', 'RF and Microwave Engineering', 'Semiconductor Design and VLSI Technology', 'Solid State Electronic Materials', 'System and Control', 'System Modelling and Control', 'Thermal Engineering', 'Thermal Systems Engineering', 'Welding Engineering']",9600.0 Thousands USD,9600.0 Thousands USD,-,-,Academics,Academic Officer
331,Cubical Laboratories Pvt Ltd,A,"['B. Tech. (Computer Science & Engineering) and M. Tech. (Information Technology)', 'B. Tech. (Electronics & Communication Engineering) and M. Tech. (Wireless Communication)', 'Computer Science and Engineering', 'Electronics & Communication Engineering']","['Communication Systems', 'Computer Science & Engineering', 'Control & Guidance', 'Information Technology', 'Micro Electronic and VLSI', 'RF and Microwave Engineering', 'Semiconductor Design and VLSI Technology', 'Solid State Electronic Materials']",10.0 Lacs INR,10.0 Lacs INR,-,-,Academics,Assistant Professor
332,i-maritime Consultancy Pvt Ltd,A,"['Civil Engineering', 'Civil Engineering with specialisation in Structures', 'Civil Engineering with specialisation in Structures']","['Environmental Engineering', 'Geomatics Engineering', 'Geotechnical Engineering', 'Hydraulics Engineering', 'Seismic Vulnerability & Risk Assessment', 'Soil Dynamics', 'Structural Dynamics', 'Structural Engineering', 'Transportation Engineering']",7.2 Lacs INR,-,-,-,IT,-
333,SV College of Engineering,U,"['B. Tech. (Electrical Engineering) and M.Tech. (Power Electronics)', 'Civil Engineering with specialisation in Structures']","['CAD,CAM & Robotics', 'Communication Systems', 'Computer Science & Engineering', 'Electric Drives and Power Electronics', 'Information Technology', 'Machine Design Engineering', 'Micro Electronic and VLSI', 'Power System Engineering', 'Production & Industrial Systems Engineering', 'RF and Microwave Engineering', 'Solid State Electronic Materials', 'Thermal Engineering', 'Thermal Systems Engineering']",-,3.5 Lacs INR,-,-,Academics,-
334,Ajay Kumar Garg Engineering College,U,NA,"['Alternate Hydro Energy Systems', 'CAD,CAM & Robotics', 'Environmental Management of Rivers and Lakes', 'Industrial Metallurgy', 'Machine Design Engineering', 'Materials Engineering', 'Production & Industrial Systems Engineering', 'Thermal Engineering', 'Welding Engineering']",2.2 Lacs INR,4.8 Lacs INR,-,-,Consultancy,Buisness Operations
335,STMicroelectronics Pvt. Ltd,A,['Electronics & Communication Engineering'],"['Communication Systems', 'Micro Electronic and VLSI', 'RF and Microwave Engineering', 'Solid State Electronic Materials', 'System Modelling and Control']",9.98 Lacs INR,10.2 Lacs INR,7.5,-,Academics,Assistant Professor
336,Dolcera ITES Pvt Ltd,B,['B. Tech. (Electronics & Communication Engineering) and M. Tech. (Wireless Communication)'],['Communication Systems'],6.0 Lacs INR,6.0 Lacs INR,-,-,Core Engineering,Engineer
